search_id,country,authority,query_or_route,checked_at,outcome,next_step,notes
sen-scout-trial-sen-project-annex-36,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: MASAE exact-title SUNUAgriSolaire searches yielded no match; other solar-agriculture programmes excluded.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",MASAE exact-title SUNUAgriSolaire searches yielded no match; other solar-agriculture programmes excluded.
sen-scout-trial-sen-project-annex-37,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: MHA/OFOR exact-title searches yielded no match; WaterCompact and ANER2000-borehole scheme remain distinct.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",MHA/OFOR exact-title searches yielded no match; WaterCompact and ANER2000-borehole scheme remain distinct.
sen-scout-trial-sen-project-annex-38,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: June3STEP workshop remains a repost lead; no original study/OMVG document retrieved.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",June3STEP workshop remains a repost lead; no original study/OMVG document retrieved.
sen-scout-trial-sen-project-qw-02,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: Ouarkhokh PAR names July2024 CNTIC EPC; PEPP names Huawei MoU; Genertec reports June2026 groundbreaking. No Champions Nationaux ownership join.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",Ouarkhokh PAR names July2024 CNTIC EPC; PEPP names Huawei MoU; Genertec reports June2026 groundbreaking. No Champions Nationaux ownership join.
sen-scout-trial-sen-project-qw-03,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: Exact Leral/FondsLeral/FONSIS searches yielded no external project identity; news-brand false positives excluded.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",Exact Leral/FondsLeral/FONSIS searches yielded no external project identity; news-brand false positives excluded.
sen-scout-trial-sen-project-qw-04,SEN,"Senelec/ASER/ANER, responsible agencies and public funders","Bounded scout trial: Direct state-funder report identifies PUELEC, ASER and a commissioned three-village component. ASER portal failures remain in history; parent identity now corroborated.",2026-09-13,collected,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.","Direct state-funder report identifies PUELEC, ASER and a commissioned three-village component. ASER portal failures remain in history; parent identity now corroborated."
sen-scout-trial-sen-project-qw-08,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: SEMIS2020-2022 two-site BESS study has wider grid analysis but no join to the later proposed QW8.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",SEMIS2020-2022 two-site BESS study has wider grid analysis but no join to the later proposed QW8.
sen-managed-solar-20260913,SEN,BOAD/Senelec/ministry/contractor,"Board communiques, CNTIC/Huawei chronology, C_DQSE_273 and site reports",2026-09-13,Exact Linguere loan approval found after initially negative scout searches; legal join unresolved,"Obtain signed BOAD agreement, financing plan and Champions Nationaux SPV/PPA/shareholder records","Managed rounds2-4 with primary-source adjudication; dated search observation, not evidence of project abandonment. See docs/jetp-senegal-managed-rounds-2026-09-13.md."
sen-managed-rural-20260913,SEN,ASER/ARCOP/IsDB/GIZ,"T_ASER_003, T_ASER_013/2020, PEDII awards, MRV350, PAMACEL330 and AEE600 comparisons",2026-09-13,PUELEC contracts recovered;330/350/600 lookalikes do not establish exact proposal identity,Obtain Annex5-7 project fiches and contract identifiers with village annexes,"Managed rounds2-4 with primary-source adjudication; dated search observation, not evidence of project abandonment. See docs/jetp-senegal-managed-rounds-2026-09-13.md."
sen-managed-aner-20260913,SEN,ANER/Common Crawl/government,"Historical WARC ranges, live D2B17SN01 API, AGPM2025 and Annex8 received-project IDs",2026-09-13,Programme and concept evidence improved; exact component-to-proposal joins remain unresolved,Obtain original submitted fiches for Annex23/28/30 and awarded feasibility-study reports,"Managed rounds2-4 with primary-source adjudication; dated search observation, not evidence of project abandonment. See docs/jetp-senegal-managed-rounds-2026-09-13.md."
sen-managed-charging-20260913,SEN,Senelec/AFD dgMarket,"C_DEG_155, P_SENELEC_2026_2 and AMII12/2026; original PPM p13",2026-09-13,Planned master-plan procurement archived; hosted notice403; exact Annex35 identity unconfirmed,Obtain terms of reference and explicit proposal crosswalk or awarded study,"Managed rounds2-4 with primary-source adjudication; dated search observation, not evidence of project abandonment. See docs/jetp-senegal-managed-rounds-2026-09-13.md."
sen-managed-omvg-20260913,SEN,OMVG/EU TAF/ISL/3E Ing,"Sambangalou STEP,3June2026 workshop, Roger Gaillard and Pierre-Luc Laflamme first-person profiles; consultant portfolios",2026-09-13,"Precise study and consultant leads, no archived institutional STEP deliverable or exact Annex38 contract",Obtain EU TAF/OMVG prefeasibility report and workshop record; do not substitute conventional128MW dam,"Managed rounds2-4 with primary-source adjudication; dated search observation, not evidence of project abandonment. See docs/jetp-senegal-managed-rounds-2026-09-13.md."
sen-docfollow-solar-20260913,SEN,BOAD/SENELEC/CRSE,"Exact2024/2025EPC dates, signed-instrument annexes, Koungheul safeguards/land, registry and licence records",2026-09-13,No exact signed loan or SPV record; BOAD annual Annex5 signed-instrument template identified,"Request operation number, signed public covers and exactlegal/sitecrosswalk; six-message packet prepared","See docs/jetp-senegal-document-followup-2026-09-13.md and document-requests/requests.csv; requests prepared, not sent. Dated retrieval/search result, not proof of inactivity."
sen-docfollow-rural-20260913,SEN,ASER/ARCOP/GFA,Decisions107/2024 and138/2024; official site code for contacts; exactcontract/TOR identifiers,2026-09-13,"928locality contractreferences found, but no350/330/600schedule or GFA-MRVjoin","Request public technical annexes, village lists andmandate identifiers","See docs/jetp-senegal-document-followup-2026-09-13.md and document-requests/requests.csv; requests prepared, not sent. Dated retrieval/search result, not proof of inactivity."
sen-docfollow-aner-20260913,SEN,ANER,"Official /api/documents records5,9,3 and actualPDFs; S_ANER_012 mirror identifier",2026-09-13,FinalPSD confirms Annex23; rooftoppredecessor andGandiayepilot keptseparate; nooriginal25/27fiches,Request original receivedproject20/25/27fiches and study/AMODreferences,"See docs/jetp-senegal-document-followup-2026-09-13.md and document-requests/requests.csv; requests prepared, not sent. Dated retrieval/search result, not proof of inactivity."
sen-docfollow-charging-20260913,SEN,SENELEC,"C_DEG_155 originalnotice attachment-list107072743, exactcodepublicportals",2026-09-13,Fiveadvertisedattachments; downloadlist403; noaward orAnnex35crosswalk,"Request namedApril/May2026attachments,TOR and anyaward","See docs/jetp-senegal-document-followup-2026-09-13.md and document-requests/requests.csv; requests prepared, not sent. Dated retrieval/search result, not proof of inactivity."
sen-docfollow-omvg-20260913,SEN,OMVG/EU TAF/ISL,ExactSambangalouSTEP study/workshopterms and continentalGT088study,2026-09-13,No institutionalSTEPdeliverable; continentalclosedloopstudy isnotSambangaloujoin,"Request confirmation of workshop, studycontract and publicprefeasibilityreport","See docs/jetp-senegal-document-followup-2026-09-13.md and document-requests/requests.csv; requests prepared, not sent. Dated retrieval/search result, not proof of inactivity."
