referent_kind,referent_id,review_status,checked_at,route,document_ids,notes
project,project-sen-project-annex-30,central_only,2026-09-13,"Bounded scout trial: CESAG exact TURBULENT title adds secondary eligible-river-site and duration leads, no selected sites/operator record.",sen-investment-plan-annexes-mirror;sen-aner-project-api;sen-scout-cesag-aner-thesis,"CESAG exact TURBULENT title adds secondary eligible-river-site and duration leads, no selected sites/operator record. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits."
project,project-sen-project-annex-31,collected,2026-09-13,https://aner.sn/api/projects/by-slug/phase-iv-programme-national-eclairage-public-solaire,sen-investment-plan-annexes-mirror;sen-aner-project-31,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-32,central_only,2026-09-13,Bounded scout trial: DIENG/FassNgom exact searches yielded no match; VEMAR wind-only remains excluded.,sen-investment-plan-annexes-mirror;sen-vemar-fass-ngom,DIENG/FassNgom exact searches yielded no match; VEMAR wind-only remains excluded. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-33,central_only,2026-09-13,Bounded scout trial: Patte dOie and other named network works cannot be pooled into the generic modern-network proposal.,sen-investment-plan-annexes-mirror;sen-senelec-annual-report-2024;sen-afd-arescaleup-2025;sen-investment-plan-l4-mirror,Patte dOie and other named network works cannot be pooled into the generic modern-network proposal. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-34,collected,2026-09-13,https://rivieresdusud.uasz.sn/bitstream/handle/123456789/2405/badiane_memoire_2024.pdf?sequence=1,sen-investment-plan-annexes-mirror;sen-uasz-vev-thesis-2024,"Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. University/Senelec CFPP case study covers a cold-room component, not the whole VEV programme."
project,project-sen-project-annex-35,central_only,2026-09-13,Bounded scout trial: dgMarket107072743 remains a blocked preparation-study lead; no official notice or rollout record retrieved.; exact AMI12/2026 and C_DEG_155; original Senelec PPM2026v2,sen-investment-plan-annexes-mirror;sen-senelec-procurement-2026;sen-irve-framework-tender-2026;sen-senelec-ppm-2026-v2;sen-afd-irve-ami12-2026,"Senelec PPM C_DEG_155 directly documents planned charging master-plan procurement, but the exact Annex35 identity is inferred and unconfirmed. Retain provisional context: no awarded study, installed chargers or canonical physical event. ACF-DON stated; no amount or JETP/IPG attribution. AFD-hosted notice corroborates procurement code but automated archive is403."
project,project-sen-project-annex-36,central_only,2026-09-13,Bounded scout trial: MASAE exact-title SUNUAgriSolaire searches yielded no match; other solar-agriculture programmes excluded.,sen-investment-plan-annexes-mirror;sen-investment-plan-l4-mirror,MASAE exact-title SUNUAgriSolaire searches yielded no match; other solar-agriculture programmes excluded. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-37,central_only,2026-09-13,Bounded scout trial: MHA/OFOR exact-title searches yielded no match; WaterCompact and ANER2000-borehole scheme remain distinct.,sen-investment-plan-annexes-mirror;sen-mha-water-compact-2026;sen-investment-plan-l4-mirror,MHA/OFOR exact-title searches yielded no match; WaterCompact and ANER2000-borehole scheme remain distinct. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-38,central_only,2026-09-13,Bounded scout trial: June3STEP workshop remains a repost lead; no original study/OMVG document retrieved.,sen-investment-plan-annexes-mirror;sen-mha-sambangalou;sen-omvg-portal-retry;sen-omvg-energy-portal,June3STEP workshop remains a repost lead; no original study/OMVG document retrieved. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-qw-02,central_only,2026-09-13,Bounded scout trial: Ouarkhokh PAR names July2024 CNTIC EPC; PEPP names Huawei MoU; Genertec reports June2026 groundbreaking. No Champions Nationaux ownership join.; Chinese contractor and ministry contract/site sources; Senelec C_DQSE_273,sen-investment-plan-l4-mirror;sen-senelec-procurement-2026;sen-boad-ouarkhokh-esia;sen-senelec-huawei-mou-social;sen-rts-huawei-mou-2026;sen-scout-ouarkhokh-par;sen-scout-ouarkhokh-pepp;sen-scout-genertec-ouarkhokh;sen-mepm-cntic-huawei-contracts-2025;sen-mepm-ouarkhokh-groundbreaking-2026;sen-genertec-ouarkhokh-chinese-2026;sen-mepm-huawei-sites-mou-2026;sen-senelec-ppm-2026-v2;sen-boad-linguere-loan-2026;sen-boad-dakar-office-2026,"Ouarkhokh PAR names July2024 CNTIC EPC; PEPP names Huawei MoU; Genertec reports June2026 groundbreaking. No Champions Nationaux ownership join. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits. Round2: CNTIC and Huawei coexist in ministry EPC+F package. Contract2025 date differs from PAR2024; unresolved instruments/date discrepancy. Ministry reports Linguere groundbreaking by10April2026; August memorandum names both sites. No Champions Nationaux SPV/ownership crosswalk, financial terms or JETP attribution; no QW2 event promoted. Round4: BOAD board25-26March2026 approved FCFA41.5bn partial-financing loan for Senelec Linguere50MWc+30MW90MWh. Approval is documented, but signing/terms/disbursement/JETP attribution and Champions Nationaux legal crosswalk remain unproved; context-only claim, no scoped financial event."
project,project-sen-project-qw-03,central_only,2026-09-13,Bounded scout trial: Exact Leral/FondsLeral/FONSIS searches yielded no external project identity; news-brand false positives excluded.,sen-investment-plan-l4-mirror;sen-senelec-procurement-2026,Exact Leral/FondsLeral/FONSIS searches yielded no external project identity; news-brand false positives excluded. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-qw-04,collected,2026-09-13,"Bounded scout trial: Direct state-funder report identifies PUELEC, ASER and a commissioned three-village component. ASER portal failures remain in history; parent identity now corroborated.; ARCOP ASER2023 audit T_ASER_003",sen-investment-plan-l4-mirror;sen-aser-programmes;sen-aser-www-retry;sen-scout-puelec-commissioning-2025;sen-scout-energy-policy-evaluation;sen-scout-puelec-pip-2026;sen-arcop-aser-audit-2023,"Direct state-funder report identifies PUELEC, ASER and a commissioned three-village component. ASER portal failures remain in history; parent identity now corroborated. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits. Round2: lots T0038/T0039 exactly sum to ministry package amount, contractor/agency/geography align. Signed contracts and advance-payment orders do not establish settlement or JETP/IPG attribution; no Annex5-7 join."
project,project-sen-project-qw-08,central_only,2026-09-13,Bounded scout trial: SEMIS2020-2022 two-site BESS study has wider grid analysis but no join to the later proposed QW8.,sen-investment-plan-l4-mirror;sen-semis-storage-study;sen-afd-arescaleup-2025,SEMIS2020-2022 two-site BESS study has wider grid analysis but no join to the later proposed QW8. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-qw-10,collected,2026-09-13,Senelec 20 April 2026 notice; AFD historical factsheet,sen-investment-plan-l4-mirror;sen-afd-diass-storage;sen-diass-groundbreaking-2026,Groundbreaking and revised reported funding recorded; older observations retained.
project,project-vnm-project-bac-ai-pumped-hydro,collected,2026-09-12,MOIT project portal plus EVN and EIB direct project routes,vnm-moit-newsletter-05-2025-07;vnm-eeas-jetp-project-progress-2025;vnm-moit-project-index-2026;vnm-moit-project-bac-ai;vnm-evn-cdp-bac-ai-2025;vnm-eib-bac-ai-package-2025,Named initial project; direct sources preserve the EUR 480 million six-DFI term sheet and distinct EUR 430 million Team Europe package without adding them
