line_id,observation_id,country,ratified,operation,funder,instrument,amount_original,currency_original,event_date,legacy_status,source_filename,locator,confidence,notes,verification_verdict,verification_note,matched_snippet,project_count,portfolio_role
vnm-pilot-observations-local-record-row-37,vnm-pilot-observation-037,VNM,,Pipeline JETP — portefeuille total à juillet 2026,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",11000000000,USD,2026-07-09,identifié (besoin),moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Việt Nam và các đối tác đã thống nhất xác định được 50 dự án đầu tư phù hợp JETP với số vốn cần huy động để thực hiện lên đến trên 11 tỷ USD »,high,"« trên » = plus de. Évolution (non conflit) : 24 projets / 7,04 Md en juillet 2025 → 50 projets / >11 Md en juillet 2026.",verified,Amount >11 billion USD ('trên 11 tỷ USD') matches text.,50 dự án đầu tư phù hợp JETP với số vốn cần huy động để thực hiện lên đến trên 11 tỷ USD,50,total_portfolio
vnm-pilot-observations-local-record-row-38,vnm-pilot-observation-038,VNM,,Total effectivement mobilisé au titre du JETP (3 projets),"AFD, KfW, consortium des six IFD",prêts,800000000,USD,2026-07-09,engagé,moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Đến nay mới có 3 dự án huy động thành công gần 800 triệu USD từ nguồn tài chính JETP »,high,"CHIFFRE CLÉ DE L'ÉTUDE. « gần » = près de. Somme des trois lignes projet : 78 + 79 + 565 = 722 M USD, soit un écart de 78 M avec les « près de 800 M » annoncés dans la même phrase — INCOHÉRENCE INTERNE au document officiel. À rapporter aux 8,08 Md USD IPG : taux de concrétisation ~9 %.",verified,"Amount ~800 million USD ('gần 800 triệu USD') matches text; document itself flags internal inconsistency (78+79+565=722M vs 800M stated), same as row's own notes.",Đến nay mới có 3 dự án huy động thành công gần 800 triệu USD từ nguồn tài chính JETP,,
vnm-pilot-observations-local-record-row-39,vnm-pilot-observation-039,VNM,,Constat d'absence de décaissement JETP (2024),IPG,n/a,0,USD,2024-10,non décaissé,theinvestor-8-projects-2024-10.html,"Avant-dernier paragraphe de l'article du 21/02/2025 : « In October 2024, Deputy Minister of Finance Vo Thanh Hung said Vietnam is yet to receive any loan from the JETP »",medium,Déclaration officielle rapportée par un tiers. Le même article indique 8 projets sélectionnés en 2024 — CONFLIT avec le décompte de 7 projets initiaux du MOIT/IPG en juillet 2025. Le nom de fichier porte 2024-10 mais l'article est daté du 21/02/2025.,verified,"Amount coded as 0/non décaissé; quote matches source_locator exactly, confirming zero disbursement claim.",Vo Thanh Hung said Vietnam is yet to receive any loan from the JETP.,,
vnm-pilot-observations-local-record-row-40,vnm-pilot-observation-040,VNM,,Retrait des États-Unis du JETP Viet Nam,États-Unis,n/a — retrait,non chiffré pour le Viet Nam,n/a,2025-03-06,annulé,bmz-flasbarth-us-withdrawal-2025-03.html,"Chapeau : « Regarding the withdrawal of the United States from the Just Energy Transition Partnerships with Indonesia, South Africa and Viet Nam, Development State Secretary Jochen Flasbarth made the following statement », 6 mars 2025. Composition post-retrait en bas de page : « The IPG for Viet Nam is comprised of the EU and the UK (co-leads), France, Canada, Italy, Japan, Denmark and Norway »",high,"Aucun montant américain propre au Viet Nam n'est publié dans les documents locaux — la part US des 7,75/8,08 Md reste non ventilée, donc l'effet du retrait n'est pas chiffrable ici. ANOMALIE : la liste IPG post-retrait de ce document omet l'Allemagne, pourtant émettrice du communiqué. ccnews-us-withdraws-2025-03.html chiffre à 45 Md USD le total des trois JETP concernés.",verified,"Amount coded as 'non chiffré pour le Viet Nam'; both quoted passages (chapeau and IPG composition list) found verbatim in the document, confirming no Vietnam-specific US amount is disclosed.","Regarding the withdrawal of the United States from the Just Energy Transition Partnerships with Indonesia, South Africa and Viet Nam... The IPG for Viet Nam is comprised of the EU and the UK (co-leads), France, Canada, Italy, Japan, Denmark and Norway.",,
vnm-pilot-observations-local-record-row-41,vnm-pilot-observation-041,VNM,,Engagement USAID cité lors de la signature du JETP,États-Unis (USAID),non précisé,50000000,USD,2022-12-14,engagé,us-embassy-declaration-2022-12.html,Citation de l'ambassadeur des États-Unis (ligne 74 du texte extrait) : « through USAID we have already committed over $50 million invested over five years »,low,"« have already committed » — engagement préexistant cité à l'occasion du JETP, pas nécessairement additionnel ni imputable à l'enveloppe JETP. Périmètre à trancher.",verified,"us-embassy-declaration-2022-12.html, matches quote attributed to the US ambassador.",through USAID we have already committed over $50 million invested over five years.,,
vnm-pilot-observations-local-record-row-42,vnm-pilot-observation-042,VNM,,Assistance technique smart grid à EVNNPT,US Trade and Development Agency (USTDA),"don (grant, assistance technique)",non publié,USD,2022-07-29,attribué,ustda-npt-smartgrid-2022-07.html,"1er paragraphe : « Today, USTDA announced it has awarded a grant to the National Power Transmission Corporation of Vietnam (NPT) for technical assistance to advance the deployment of smart grid technologies »",medium,Montant non divulgué. Antérieur au JETP (juillet 2022) et jamais qualifié de JETP. Ligne de contexte.,verified,"Amount coded as 'non publié'; grant announcement text matches source_locator, and no dollar figure appears anywhere in the document, confirming the amount is indeed undisclosed.","Today, the U.S. Trade and Development Agency announced it has awarded a grant to the National Power Transmission Corporation of Vietnam (NPT) for technical assistance to advance the deployment of smart grid technologies",,
vnm-pilot-observations-local-record-row-43,vnm-pilot-observation-043,VNM,,Prêt-programme JICA pour la transformation verte (GX),JICA (Japon),"prêt ODA concessionnel (1,5 %/an, 15 ans, 5 ans de différé, untied)",50000000000,JPY,2026-03-30,signé,jica-gx-dpl-signing-2026-03.html,"1er paragraphe : « On March 30, JICA signed a loan agreement with the Government of the Socialist Republic of Viet Nam ». Conditions dans la fiche « Terms and Amount of Loan » : « Maximum Loan Amount : 50,000 million Japanese Yen ; Annual Interest Rate : 1.5% ; Repayment Period : 15 Years ; Grace Period : 5 Years ; Procurement : General untied ; Executing Agency : Ministry of Finance »",high,"HORS PÉRIMÈTRE JETP APPARENT : le mot « JETP » n'apparaît nulle part dans ce document (vérifié par grep), ni dans jica-mof-seminar-2026-03-18.pdf, ni dans vir-japan-oda-320m-2026.html. Décaissement prévu décembre 2026. Équivalences données par le PDF JICA-MOF : 8 350 milliards VND ou 320 M USD.",verified,"Signing on March 30 confirmed; loan amount '50,000 million Japanese Yen' found under 'Terms and Amount of Loan' / 'Maximum Loan Amount' section, matching amount 50000000000 JPY.","On March 30, the Japan International Cooperation Agency (JICA) signed a loan agreement with the Government of the Socialist Republic of Viet Nam ... - Maximum Loan Amount 50,000 million Japanese Yen",,
vnm-pilot-observations-local-record-row-44,vnm-pilot-observation-044,VNM,,Prêt-programme JICA GX — date de cérémonie divergente,JICA (Japon),prêt ODA concessionnel,320000000,USD,2026-03-18,signé (selon ce document),vir-japan-oda-320m-2026.html,"1er paragraphe de l'article : « On March 18, the Japan International Cooperation Agency Vietnam office and the Ministry of Finance co-organised a signing ceremony for a $320 million green loan programme »",low,"CONFLIT DE DATE ET DE NATURE D'ACTE : le communiqué JICA date la signature du 30 mars 2026 ; le PDF officiel jica-mof-seminar-2026-03-18.pdf décrit l'événement du 18 mars comme un « Joint High Level Seminar », pas une signature. VIR requalifie un séminaire en cérémonie de signature. DOUBLON de la ligne précédente — ne pas additionner.",verified,"Amount $320 million matches article headline, description, and first paragraph text, dated March 18 as stated in the row.","Vietnam pushes green transition with Japan's $320 million ODA support ... On March 18, the Japan International Cooperation Agency Vietnam office and the Ministry of Finance co-organised a signing ceremony for a $320 million green loan programme.",,
vnm-pilot-observations-local-record-row-45,vnm-pilot-observation-045,VNM,,Crédit IDA d'appui budgétaire (DPF tranche 2),Banque mondiale (IDA),crédit concessionnel IDA (development policy financing),263900000,USD,2023-06-29,approuvé,wb-dpf-tranche2-2023-06.html,"1er paragraphe : « WASHINGTON, June 29, 2023 — The World Bank Board of Directors today approved a US$263.9-million International Development Association credit for Vietnam… reforms aimed at supporting households, businesses, and expansion of renewable energy »",high,HORS PÉRIMÈTRE JETP APPARENT : « JETP » absent du document (vérifié par grep). Deuxième et dernier volet d'une série DPF de deux opérations.,verified,Amount US$263.9 million found verbatim in first paragraph of WB press release.,"WASHINGTON, June 29, 2023 — The World Bank Board of Directors today approved a US$263.9-million International Development Association credit for Vietnam aimed at bolstering...",,
vnm-pilot-observations-local-record-row-46,vnm-pilot-observation-046,VNM,,Crédit IDA d'appui budgétaire (DPF tranche 1),Banque mondiale (IDA),crédit concessionnel IDA,221500000,USD,2021,approuvé,wb-dpf-tranche2-2023-06.html,"1er paragraphe, dernière phrase : « This credit marks the second and final installment in a Development Policy Financing (DPF) series of two operations, following a US$221.5 million operation approved in 2021 »",medium,Date au niveau de l'année seulement. Antérieur au JETP. Ligne de contexte.,verified,"Amount US$221.5 million found in same first paragraph, referencing the prior 2021 operation as stated.","This credit marks the second and final installment in a Development Policy Financing (DPF) series of two operations, following a US$221.5 million operation approved in 2021",,
